URL,Snippet
https://www.nytimes.com/reuters/2018/03/27/business/27reuters-facebook-cambridge-analytica-britain-committee.html,"b'Facebook CEO Mark Zuckerberg\'s decision not to answer questions from British lawmakers about a scandal over the firm\'s data is ""astonishing"", the parliamentary committee chief who invited him to attend said on Tuesday.    '","b""Zuckerberg's Snub of UK Parliament 'Astonishing' Says Lawmaker"""
https://www.nytimes.com/reuters/2018/03/26/business/26reuters-facebook-media.html,b'Facebook Inc said on Monday it would expand its local news push beyond the United States to provide users with more stories from local sources covering their current cities and other cities of interest.',b'Facebook to Expand Its Local News Feature Beyond U.S.'
https://www.nytimes.com/aponline/2018/03/28/technology/ap-us-tec-facebook-privacy-scandal-the-latest.html,"b""The Latest on Facebook's burgeoning privacy scandal (all times local):""",b'The Latest: Facebook Ending Ad Targeting Using Outside Data'
https://www.nytimes.com/reuters/2018/04/05/technology/05reuters-facebook-privacy-australia.html,"b'Australia on Thursday said it had begun an investigation to decide whether social media giant Facebook Inc breached its privacy laws, after the company confirmed data from 300,000 Australian users may have been used without authorization.'",b'Australia Begins Privacy Investigation Into Facebook'
https://www.nytimes.com/reuters/2018/03/26/business/26reuters-facebook-cambridge-analytica-apology.html,"b'Opinion polls published on Sunday in the United States and Germany cast doubt over the level of trust people have in Facebook over privacy, as the firm ran advertisements in British and U.S. newspapers apologizing to users.'",b'Americans Less Likely to Trust Facebook Than Rivals on Personal Data'
https://www.nytimes.com/aponline/2018/03/30/technology/bc-us-tec-facebook-memo.html,"b""The author of a provocative Facebook memo declaring that growth is justified even if it costs lives says he doesn't actually agree with the memo and wrote it to provoke debate.""",b'Facebook Exec Disavows His Own Provocative Memo'
https://www.nytimes.com/reuters/2018/03/29/business/29reuters-facebook-privacy.html,"b'Facebook Inc said on Wednesday it would end its partnerships with several large data brokers who help advertisers target people on the social network, a step that follows a scandal over how Facebook handles personal information. '",b'Facebook Cuts Ties to Data Brokers in Blow to Targeted Ads'
https://www.nytimes.com/reuters/2018/03/28/technology/28reuters-facebook-privacy.html,"b'Facebook Inc said on Wednesday it would end its partnerships with several large data brokers who help advertisers target people on the social network, a step that follows a scandal over how Facebook handles personal information. '",b'Facebook Cuts Ties to Data Brokers in Blow to Targeted Ads'
https://www.nytimes.com/reuters/2018/03/26/business/26reuters-facebook-cambridge-analytica.html,b'The leading U.S. consumer protection regulator and attorneys representing 37 states stepped up pressure on Facebook Inc on Monday to explain how the social network allowed data of 50 million users get into the hands of a political consultancy.',"b'U.S. Regulator, State Attorneys Look for Answers From Facebook'"
https://www.nytimes.com/reuters/2018/03/27/business/27reuters-facebook-cambridge-analytica-ftc.html,b'The leading U.S. consumer protection regulator and attorneys representing 37 states stepped up pressure on Facebook Inc on Monday to explain how the social network allowed data of 50 million users get into the hands of a political consultancy.',"b'U.S. Regulator, State Attorneys Look for Answers From Facebook'"
